# FONLL heavy quark hadroproduction cross section, calculated on Thu Mar 30 04:28:20 CEST 2023
# FONLL version and perturbative order: ## FONLL v1.4.0 fonll [ds/dpt^2dy (pb/GeV^2)]
# quark = charm
# final state = lepton (meson = 0.7 D0 + 0.3 D+). NP params (cm,lm,hm) = 0.1, 0.06, 0.135
# BR(q->meson) = 1
# BR(meson->lepton) = 0.103
# ebeam1 = 6800, ebeam2 = 6800
# PDF set = NNPDF30_nlo_as_0118
# ptmin = 0.5
# ptmax = 299.5
# etamin = -1
# etamax = 1
# Uncertainties from scales, masses, PDFs combined quadratically
# cross section is ds/dpt (pb/GeV)
# pt      central      min       max       min_sc     max_sc     min_mass   max_mass     min_pdf    max_pdf
 105.5000 1.3153e-01 1.1729e-01 1.4521e-01 1.1886e-01 1.4245e-01 1.2854e-01 1.3750e-01 1.2576e-01 1.3720e-01
 106.5000 1.2453e-01 1.1099e-01 1.3744e-01 1.1248e-01 1.3483e-01 1.2164e-01 1.3019e-01 1.1907e-01 1.2988e-01
 107.5000 1.1794e-01 1.0520e-01 1.3027e-01 1.0661e-01 1.2772e-01 1.1526e-01 1.2339e-01 1.1279e-01 1.2308e-01
 108.5000 1.1176e-01 9.9734e-02 1.2341e-01 1.0103e-01 1.2103e-01 1.0928e-01 1.1691e-01 1.0691e-01 1.1660e-01
 109.5000 1.0599e-01 9.4456e-02 1.1697e-01 9.5697e-02 1.1474e-01 1.0362e-01 1.1083e-01 1.0135e-01 1.1052e-01
 110.5000 1.0048e-01 8.9619e-02 1.1100e-01 9.0795e-02 1.0877e-01 9.8241e-02 1.0516e-01 9.6099e-02 1.0496e-01
 111.5000 9.5347e-02 8.4977e-02 1.0535e-01 8.6108e-02 1.0321e-01 9.3163e-02 9.9838e-02 9.1176e-02 9.9611e-02
 112.5000 9.0589e-02 8.0660e-02 1.0001e-01 8.1751e-02 9.8087e-02 8.8467e-02 9.4709e-02 8.6592e-02 9.4544e-02
 113.5000 8.6015e-02 7.6622e-02 9.4992e-02 7.7683e-02 9.3143e-02 8.4027e-02 8.9960e-02 8.2163e-02 8.9785e-02
 114.5000 8.1700e-02 7.2768e-02 9.0217e-02 7.3779e-02 8.8467e-02 7.9784e-02 8.5418e-02 7.8043e-02 8.5294e-02
 115.5000 7.7652e-02 6.9178e-02 8.5753e-02 7.0102e-02 8.4079e-02 7.5870e-02 8.1215e-02 7.4242e-02 8.1061e-02
 116.5000 7.3769e-02 6.5721e-02 8.1506e-02 6.6600e-02 7.9877e-02 7.2079e-02 7.7178e-02 7.0524e-02 7.7075e-02
 117.5000 7.0184e-02 6.2496e-02 7.7511e-02 6.3335e-02 7.6004e-02 6.8577e-02 7.3398e-02 6.7084e-02 7.3264e-02
 118.5000 6.6744e-02 5.9445e-02 7.3744e-02 6.0245e-02 7.2275e-02 6.5271e-02 6.9844e-02 6.3767e-02 6.9710e-02
 119.5000 6.3510e-02 5.6567e-02 7.0187e-02 5.7330e-02 6.8773e-02 6.2099e-02 6.6487e-02 6.0677e-02 6.6342e-02
 120.5000 6.0471e-02 5.3839e-02 6.6811e-02 5.4569e-02 6.5477e-02 5.9122e-02 6.3273e-02 5.7762e-02 6.3170e-02
 121.5000 5.7587e-02 5.1265e-02 6.3628e-02 5.1964e-02 6.2356e-02 5.6300e-02 6.0255e-02 5.5002e-02 6.0162e-02
 122.5000 5.4858e-02 4.8837e-02 6.0617e-02 4.9502e-02 5.9400e-02 5.3632e-02 5.7402e-02 5.2396e-02 5.7320e-02
 123.5000 5.2272e-02 4.6533e-02 5.7762e-02 4.7164e-02 5.6599e-02 5.1119e-02 5.4703e-02 4.9924e-02 5.4621e-02
 124.5000 4.9831e-02 4.4361e-02 5.5069e-02 4.4959e-02 5.3951e-02 4.8760e-02 5.2149e-02 4.7586e-02 5.2087e-02
 125.5000 4.7514e-02 4.2295e-02 5.2520e-02 4.2869e-02 5.1449e-02 4.6505e-02 4.9728e-02 4.5361e-02 4.9677e-02
 126.5000 4.5330e-02 4.0341e-02 5.0101e-02 4.0891e-02 4.9079e-02 4.4362e-02 4.7442e-02 4.3270e-02 4.7390e-02
 127.5000 4.3260e-02 3.8485e-02 4.7812e-02 3.9016e-02 4.6834e-02 4.2323e-02 4.5269e-02 4.1282e-02 4.5238e-02
 128.5000 4.1293e-02 3.6734e-02 4.5642e-02 3.7245e-02 4.4712e-02 4.0397e-02 4.3209e-02 3.9398e-02 4.3178e-02
 129.5000 3.9428e-02 3.5068e-02 4.3589e-02 3.5556e-02 4.2694e-02 3.8573e-02 4.1262e-02 3.7616e-02 4.1241e-02
 130.5000 3.7667e-02 3.3489e-02 4.1625e-02 3.3959e-02 4.0778e-02 3.6843e-02 3.9408e-02 3.5926e-02 3.9387e-02
 131.5000 3.5957e-02 3.2008e-02 3.9765e-02 3.2445e-02 3.8934e-02 3.5195e-02 3.7646e-02 3.4320e-02 3.7626e-02
 132.5000 3.4381e-02 3.0574e-02 3.8003e-02 3.1003e-02 3.7224e-02 3.3629e-02 3.5978e-02 3.2795e-02 3.5957e-02
 133.5000 3.2847e-02 2.9230e-02 3.6326e-02 2.9633e-02 3.5566e-02 3.2146e-02 3.4392e-02 3.1343e-02 3.4371e-02
 134.5000 3.1405e-02 2.7921e-02 3.4745e-02 2.8315e-02 3.4011e-02 3.0735e-02 3.2888e-02 2.9942e-02 3.2878e-02
 135.5000 3.0045e-02 2.6705e-02 3.3238e-02 2.7079e-02 3.2538e-02 2.9396e-02 3.1467e-02 2.8655e-02 3.1446e-02
 136.5000 2.8747e-02 2.5543e-02 3.1793e-02 2.5905e-02 3.1127e-02 2.8119e-02 3.0097e-02 2.7408e-02 3.0086e-02
 137.5000 2.7522e-02 2.4455e-02 3.0427e-02 2.4813e-02 2.9798e-02 2.6883e-02 2.8809e-02 2.6234e-02 2.8789e-02
 138.5000 2.6347e-02 2.3396e-02 2.9123e-02 2.3741e-02 2.8521e-02 2.5740e-02 2.7573e-02 2.5101e-02 2.7563e-02
 139.5000 2.5214e-02 2.2406e-02 2.7889e-02 2.2732e-02 2.7305e-02 2.4648e-02 2.6399e-02 2.4030e-02 2.6389e-02
 140.5000 2.4133e-02 2.1450e-02 2.6720e-02 2.1754e-02 2.6141e-02 2.3608e-02 2.5286e-02 2.3010e-02 2.5286e-02
 141.5000 2.3124e-02 2.0542e-02 2.5593e-02 2.0837e-02 2.5039e-02 2.2609e-02 2.4226e-02 2.2042e-02 2.4226e-02
 142.5000 2.2155e-02 1.9677e-02 2.4528e-02 1.9961e-02 2.3999e-02 2.1661e-02 2.3206e-02 2.1115e-02 2.3216e-02
 143.5000 2.1239e-02 1.8853e-02 2.3510e-02 1.9137e-02 2.3000e-02 2.0755e-02 2.2248e-02 2.0219e-02 2.2258e-02
 144.5000 2.0363e-02 1.8070e-02 2.2542e-02 1.8344e-02 2.2052e-02 1.9910e-02 2.1331e-02 1.9374e-02 2.1342e-02
 145.5000 1.9529e-02 1.7328e-02 2.1615e-02 1.7592e-02 2.1146e-02 1.9086e-02 2.0456e-02 1.8581e-02 2.0466e-02
 146.5000 1.8725e-02 1.6619e-02 2.0736e-02 1.6871e-02 2.0281e-02 1.8303e-02 1.9611e-02 1.7819e-02 1.9642e-02
 147.5000 1.7963e-02 1.5938e-02 1.9894e-02 1.6181e-02 1.9457e-02 1.7562e-02 1.8818e-02 1.7088e-02 1.8839e-02
 148.5000 1.7242e-02 1.5284e-02 1.9093e-02 1.5522e-02 1.8674e-02 1.6841e-02 1.8056e-02 1.6398e-02 1.8087e-02
 149.5000 1.6552e-02 1.4673e-02 1.8318e-02 1.4904e-02 1.7922e-02 1.6161e-02 1.7325e-02 1.5738e-02 1.7355e-02
 150.5000 1.5883e-02 1.4084e-02 1.7590e-02 1.4307e-02 1.7201e-02 1.5512e-02 1.6634e-02 1.5100e-02 1.6665e-02
 151.5000 1.5254e-02 1.3517e-02 1.6890e-02 1.3730e-02 1.6521e-02 1.4894e-02 1.5965e-02 1.4502e-02 1.6006e-02
 152.5000 1.4647e-02 1.2981e-02 1.6229e-02 1.3184e-02 1.5862e-02 1.4307e-02 1.5337e-02 1.3926e-02 1.5388e-02
 153.5000 1.4070e-02 1.2469e-02 1.5589e-02 1.2669e-02 1.5234e-02 1.3740e-02 1.4739e-02 1.3369e-02 1.4781e-02
 154.5000 1.3534e-02 1.1981e-02 1.4985e-02 1.2185e-02 1.4657e-02 1.3194e-02 1.4163e-02 1.2844e-02 1.4204e-02
 155.5000 1.2999e-02 1.1513e-02 1.4399e-02 1.1701e-02 1.4080e-02 1.2679e-02 1.3606e-02 1.2350e-02 1.3647e-02
 156.5000 1.2494e-02 1.1064e-02 1.3844e-02 1.1248e-02 1.3534e-02 1.2185e-02 1.3081e-02 1.1866e-02 1.3122e-02
 157.5000 1.2010e-02 1.0636e-02 1.3309e-02 1.0815e-02 1.3009e-02 1.1711e-02 1.2576e-02 1.1402e-02 1.2618e-02
 158.5000 1.1557e-02 1.0221e-02 1.2792e-02 1.0403e-02 1.2514e-02 1.1248e-02 1.2082e-02 1.0959e-02 1.2133e-02
 159.5000 1.1114e-02 9.8252e-03 1.2298e-02 9.9982e-03 1.2030e-02 1.0825e-02 1.1639e-02 1.0537e-02 1.1649e-02
 160.5000 1.0681e-02 9.4547e-03 1.1836e-02 9.6161e-03 1.1577e-02 1.0413e-02 1.1196e-02 1.0135e-02 1.1196e-02
 161.5000 1.0277e-02 9.0919e-03 1.1390e-02 9.2494e-03 1.1134e-02 1.0016e-02 1.0774e-02 9.7479e-03 1.0784e-02
 162.5000 9.8808e-03 8.7448e-03 1.0961e-02 8.8910e-03 1.0702e-02 9.6356e-03 1.0372e-02 9.3802e-03 1.0382e-02
 163.5000 9.5090e-03 8.4143e-03 1.0548e-02 8.5562e-03 1.0300e-02 9.2762e-03 9.9797e-03 9.0228e-03 9.9900e-03
 164.5000 9.1536e-03 8.0990e-03 1.0156e-02 8.2369e-03 9.9148e-03 8.9250e-03 9.6089e-03 8.6850e-03 9.6212e-03
