# FONLL heavy quark hadroproduction cross section, calculated on Fri Aug 23 01:32:06 CEST 2019
# FONLL version and perturbative order: ## FONLL v1.3.2 fonll [ds/dpt^2dy (pb/GeV^2)]
# quark = bottom
# final state = lepton. NP params (cm,lm,hm) = 24.2, 26.7, 22.2
# BR(q->meson) = 1
# BR(meson->lepton) = 0.1086
# ebeam1 = 6500, ebeam2 = 6500
# PDF set = CTEQ6.6
# ptmin = 0.5
# ptmax = 299.5
# etamin = -1
# etamax = 1
# Uncertainties from scales, masses, PDFs combined quadratically
# cross section is ds/dpt (pb/GeV)
# pt      central      min       max       min_sc     max_sc     min_mass   max_mass     min_pdf    max_pdf
  61.5000 6.8424e+00 6.1079e+00 7.5714e+00 6.1793e+00 7.4982e+00 6.7939e+00 6.8941e+00 6.5304e+00 7.1566e+00
  62.5000 6.2815e+00 5.6100e+00 6.9476e+00 5.6753e+00 6.8804e+00 6.2383e+00 6.3290e+00 5.9958e+00 6.5694e+00
  63.5000 5.7734e+00 5.1584e+00 6.3818e+00 5.2188e+00 6.3195e+00 5.7312e+00 5.8176e+00 5.5108e+00 6.0380e+00
  64.5000 5.3126e+00 4.7474e+00 5.8699e+00 4.8045e+00 5.8124e+00 5.2747e+00 5.3516e+00 5.0680e+00 5.5562e+00
  65.5000 4.8941e+00 4.3767e+00 5.4051e+00 4.4291e+00 5.3516e+00 4.8614e+00 4.9310e+00 4.6695e+00 5.1186e+00
  66.5000 4.5145e+00 4.0378e+00 4.9833e+00 4.0865e+00 4.9341e+00 4.4840e+00 4.5461e+00 4.3068e+00 4.7212e+00
  67.5000 4.1677e+00 3.7292e+00 4.5982e+00 3.7744e+00 4.5525e+00 4.1402e+00 4.1972e+00 3.9758e+00 4.3585e+00
  68.5000 3.8514e+00 3.4479e+00 4.2483e+00 3.4897e+00 4.2056e+00 3.8261e+00 3.8777e+00 3.6742e+00 4.0285e+00
  69.5000 3.5625e+00 3.1905e+00 3.9278e+00 3.2293e+00 3.8883e+00 3.5372e+00 3.5867e+00 3.3991e+00 3.7259e+00
  70.5000 3.2989e+00 2.9549e+00 3.6348e+00 2.9911e+00 3.5983e+00 3.2757e+00 3.3200e+00 3.1471e+00 3.4497e+00
  71.5000 3.0575e+00 2.7389e+00 3.3679e+00 2.7728e+00 3.3337e+00 3.0353e+00 3.0775e+00 2.9162e+00 3.1977e+00
  72.5000 2.8361e+00 2.5421e+00 3.1228e+00 2.5736e+00 3.0912e+00 2.8160e+00 2.8540e+00 2.7053e+00 2.9657e+00
  73.5000 2.6337e+00 2.3605e+00 2.8987e+00 2.3901e+00 2.8688e+00 2.6147e+00 2.6505e+00 2.5114e+00 2.7549e+00
  74.5000 2.4470e+00 2.1942e+00 2.6924e+00 2.2214e+00 2.6642e+00 2.4302e+00 2.4639e+00 2.3342e+00 2.5598e+00
  75.5000 2.2752e+00 2.0423e+00 2.5040e+00 2.0675e+00 2.4776e+00 2.2604e+00 2.2921e+00 2.1708e+00 2.3806e+00
  76.5000 2.1181e+00 1.9012e+00 2.3308e+00 1.9252e+00 2.3058e+00 2.1044e+00 2.1328e+00 2.0200e+00 2.2172e+00
  77.5000 1.9737e+00 1.7718e+00 2.1713e+00 1.7944e+00 2.1476e+00 1.9600e+00 1.9874e+00 1.8819e+00 2.0664e+00
  78.5000 1.8408e+00 1.6518e+00 2.0227e+00 1.6732e+00 2.0011e+00 1.8282e+00 1.8514e+00 1.7544e+00 1.9262e+00
  79.5000 1.7175e+00 1.5426e+00 1.8876e+00 1.5625e+00 1.8672e+00 1.7059e+00 1.7280e+00 1.6373e+00 1.7976e+00
  80.5000 1.6036e+00 1.4406e+00 1.7625e+00 1.4592e+00 1.7428e+00 1.5941e+00 1.6141e+00 1.5287e+00 1.6795e+00
