# FONLL heavy quark hadroproduction cross section, calculated on Thu Jun 27 06:19:58 CEST 2019
# FONLL version and perturbative order: ## FONLL v1.3.2 fonll [ds/dpt^2dy (pb/GeV^2)]
# quark = bottom
# final state = psi(2S) from a single B. NP params (cm,lm,hm) = 24.2, 26.7, 22.2
# BR(q->meson) = 1
# BR(B->psi(2S)) = 0.00307
# ebeam1 = 6500, ebeam2 = 6500
# PDF set = CTEQ6.6
# ptmin = 0
# ptmax = 50
# etamin = -1
# etamax = 1
# Uncertainties from scales, masses, PDFs combined quadratically
# cross section is ds/dpt (pb/GeV)
# pt      central      min       max       min_sc     max_sc     min_mass   max_mass     min_pdf    max_pdf
  17.2500 8.4947e+02 6.8202e+02 1.0748e+03 6.9228e+02 1.0671e+03 8.1815e+02 8.8170e+02 8.0096e+02 8.9798e+02
  17.5000 8.0280e+02 6.4549e+02 1.0138e+03 6.5514e+02 1.0066e+03 7.7364e+02 8.3258e+02 7.5706e+02 8.4855e+02
  17.7500 7.5921e+02 6.1111e+02 9.5659e+02 6.2014e+02 9.4986e+02 7.3189e+02 7.8684e+02 7.1623e+02 8.0219e+02
  18.0000 7.1807e+02 5.7909e+02 9.0343e+02 5.8760e+02 8.9705e+02 6.9259e+02 7.4417e+02 6.7755e+02 7.5860e+02
  18.2500 6.7970e+02 5.4898e+02 8.5365e+02 5.5690e+02 8.4763e+02 6.5606e+02 7.0395e+02 6.4163e+02 7.1807e+02
  18.5000 6.4378e+02 5.2051e+02 8.0686e+02 5.2804e+02 8.0127e+02 6.2167e+02 6.6619e+02 6.0755e+02 6.7970e+02
  18.7500 6.1001e+02 4.9398e+02 7.6328e+02 5.0102e+02 7.5798e+02 5.8944e+02 6.3088e+02 5.7593e+02 6.4409e+02
  19.0000 5.7839e+02 4.6889e+02 7.2209e+02 4.7554e+02 7.1715e+02 5.5905e+02 5.9773e+02 5.4615e+02 6.1032e+02
  19.2500 5.4830e+02 4.4538e+02 6.8390e+02 4.5160e+02 6.7908e+02 5.3050e+02 5.6672e+02 5.1791e+02 5.7900e+02
  19.5000 5.2037e+02 4.2325e+02 6.4797e+02 4.2919e+02 6.4347e+02 5.0348e+02 5.3756e+02 4.9151e+02 5.4922e+02
  19.7500 4.9396e+02 4.0222e+02 6.1399e+02 4.0770e+02 6.0970e+02 4.7831e+02 5.1023e+02 4.6695e+02 5.2129e+02
  20.0000 4.6940e+02 3.8236e+02 5.8236e+02 3.8774e+02 5.7839e+02 4.5436e+02 4.8414e+02 4.4331e+02 4.9519e+02
  20.2500 4.4607e+02 3.6397e+02 5.5234e+02 3.6901e+02 5.4861e+02 4.3195e+02 4.5989e+02 4.2151e+02 4.7032e+02
  20.5000 4.2397e+02 3.4648e+02 5.2432e+02 3.5121e+02 5.2067e+02 4.1107e+02 4.3717e+02 4.0063e+02 4.4730e+02
  20.7500 4.0309e+02 3.2996e+02 4.9805e+02 3.3432e+02 4.9458e+02 3.9112e+02 4.1568e+02 3.8129e+02 4.2519e+02
  21.0000 3.8375e+02 3.1412e+02 4.7323e+02 3.1836e+02 4.7002e+02 3.7208e+02 3.9511e+02 3.6287e+02 4.0463e+02
  21.2500 3.6533e+02 2.9948e+02 4.4971e+02 3.0350e+02 4.4669e+02 3.5458e+02 3.7607e+02 3.4538e+02 3.8498e+02
  21.5000 3.4783e+02 2.8550e+02 4.2748e+02 2.8935e+02 4.2458e+02 3.3770e+02 3.5796e+02 3.2880e+02 3.6656e+02
