# FONLL heavy quark hadroproduction cross section, calculated on Tue Feb 21 21:27:56 CET 2023
# FONLL version and perturbative order: ## FONLL v1.4.0 fonll [ds/dpt^2dy (pb/GeV^2)]
# quark = bottom
# final state = psi(2S) from a single B. NP params (cm,lm,hm) = 24.2, 26.7, 22.2
# BR(q->meson) = 1
# BR(B->psi(2S)) = 0.00307
# ebeam1 = 6800, ebeam2 = 6800
# PDF set = NNPDF30_nlo_as_0118
# ptmin = 0
# ptmax = 50
# etamin = -1
# etamax = 1
# Uncertainties from scales, masses, PDFs combined quadratically
# cross section is ds/dpt (pb/GeV)
# pt      central      min       max       min_sc     max_sc     min_mass   max_mass     min_pdf    max_pdf
29.7500 9.2561e+01 7.8928e+01 1.0897e+02 7.9175e+01 1.0877e+02 9.0749e+01 9.4372e+01 9.0719e+01 9.4403e+01
30.0000 8.9183e+01 7.6110e+01 1.0491e+02 7.6351e+01 1.0472e+02 8.7434e+01 9.0903e+01 8.7403e+01 9.0964e+01
30.2500 8.5960e+01 7.3390e+01 1.0101e+02 7.3619e+01 1.0082e+02 8.4302e+01 8.7587e+01 8.4241e+01 8.7679e+01
30.5000 8.2859e+01 7.0788e+01 9.7285e+01 7.1009e+01 9.7104e+01 8.1263e+01 8.4425e+01 8.1201e+01 8.4517e+01
30.7500 7.9881e+01 6.8313e+01 9.3752e+01 6.8522e+01 9.3574e+01 7.8377e+01 8.1386e+01 7.8285e+01 8.1508e+01
31.0000 7.7057e+01 6.5922e+01 9.0331e+01 6.6128e+01 9.0166e+01 7.5614e+01 7.8469e+01 7.5491e+01 7.8592e+01
31.2500 7.4325e+01 6.3628e+01 8.7073e+01 6.3825e+01 8.6912e+01 7.2943e+01 7.5675e+01 7.2820e+01 7.5829e+01
31.5000 7.1715e+01 6.1427e+01 8.3934e+01 6.1615e+01 8.3780e+01 7.0395e+01 7.3005e+01 7.0272e+01 7.3158e+01
31.7500 6.9228e+01 5.9310e+01 8.0949e+01 5.9497e+01 8.0802e+01 6.7939e+01 7.0457e+01 6.7816e+01 7.0610e+01
32.0000 6.6803e+01 5.7297e+01 7.8093e+01 5.7470e+01 7.7947e+01 6.5606e+01 6.8001e+01 6.5452e+01 6.8154e+01
32.2500 6.4501e+01 5.5373e+01 7.5325e+01 5.5536e+01 7.5184e+01 6.3365e+01 6.5637e+01 6.3211e+01 6.5821e+01
32.5000 6.2290e+01 5.3502e+01 7.2710e+01 5.3664e+01 7.2575e+01 6.1185e+01 6.3395e+01 6.1032e+01 6.3549e+01
32.7500 6.0172e+01 5.1702e+01 7.0158e+01 5.1852e+01 7.0027e+01 5.9128e+01 6.1216e+01 5.8975e+01 6.1400e+01
33.0000 5.8146e+01 4.9985e+01 6.7754e+01 5.0133e+01 6.7632e+01 5.7133e+01 5.9128e+01 5.6979e+01 5.9312e+01
33.2500 5.6181e+01 4.8334e+01 6.5419e+01 4.8475e+01 6.5299e+01 5.5229e+01 5.7133e+01 5.5045e+01 5.7317e+01
33.5000 5.4308e+01 4.6741e+01 6.3175e+01 4.6879e+01 6.3058e+01 5.3387e+01 5.5229e+01 5.3203e+01 5.5413e+01
33.7500 5.2497e+01 4.5214e+01 6.1054e+01 4.5344e+01 6.0940e+01 5.1607e+01 5.3387e+01 5.1453e+01 5.3572e+01
34.0000 5.0778e+01 4.3739e+01 5.8988e+01 4.3870e+01 5.8883e+01 4.9918e+01 5.1607e+01 4.9734e+01 5.1791e+01
34.2500 4.9089e+01 4.2338e+01 5.6993e+01 4.2458e+01 5.6887e+01 4.8291e+01 4.9888e+01 4.8107e+01 5.0102e+01
34.5000 4.7493e+01 4.0961e+01 5.5117e+01 4.1077e+01 5.5014e+01 4.6725e+01 4.8260e+01 4.6541e+01 4.8475e+01
34.7500 4.5958e+01 3.9641e+01 5.3268e+01 3.9757e+01 5.3172e+01 4.5221e+01 4.6695e+01 4.5006e+01 4.6879e+01
35.0000 4.4484e+01 3.8383e+01 5.1515e+01 3.8498e+01 5.1422e+01 4.3748e+01 4.5190e+01 4.3563e+01 4.5375e+01
35.2500 4.3041e+01 3.7167e+01 4.9827e+01 3.7270e+01 4.9734e+01 4.2366e+01 4.3717e+01 4.2182e+01 4.3932e+01
35.5000 4.1660e+01 3.6005e+01 4.8226e+01 3.6103e+01 4.8138e+01 4.1015e+01 4.2305e+01 4.0831e+01 4.2520e+01
35.7500 4.0340e+01 3.4869e+01 4.6660e+01 3.4967e+01 4.6572e+01 3.9726e+01 4.0984e+01 3.9511e+01 4.1169e+01
36.0000 3.9081e+01 3.3796e+01 4.5149e+01 3.3893e+01 4.5068e+01 3.8467e+01 3.9664e+01 3.8283e+01 3.9879e+01
36.2500 3.7853e+01 3.2757e+01 4.3705e+01 3.2849e+01 4.3625e+01 3.7270e+01 3.8436e+01 3.7086e+01 3.8621e+01
36.5000 3.6656e+01 3.1749e+01 4.2323e+01 3.1836e+01 4.2243e+01 3.6103e+01 3.7208e+01 3.5919e+01 3.7423e+01
36.7500 3.5520e+01 3.0772e+01 4.1001e+01 3.0854e+01 4.0923e+01 3.4998e+01 3.6072e+01 3.4814e+01 3.6257e+01
37.0000 3.4445e+01 2.9839e+01 3.9705e+01 2.9923e+01 3.9634e+01 3.3923e+01 3.4937e+01 3.3739e+01 3.5151e+01
37.2500 3.3371e+01 2.8938e+01 3.8448e+01 2.9018e+01 3.8375e+01 3.2880e+01 3.3862e+01 3.2696e+01 3.4077e+01
37.5000 3.2358e+01 2.8061e+01 3.7247e+01 2.8143e+01 3.7178e+01 3.1867e+01 3.2818e+01 3.1682e+01 3.3033e+01
37.7500 3.1375e+01 2.7225e+01 3.6109e+01 2.7302e+01 3.6042e+01 3.0915e+01 3.1836e+01 3.0731e+01 3.2020e+01
38.0000 3.0430e+01 2.6414e+01 3.5001e+01 2.6488e+01 3.4937e+01 2.9985e+01 3.0854e+01 2.9804e+01 3.1068e+01
38.2500 2.9518e+01 2.5633e+01 3.3924e+01 2.5705e+01 3.3862e+01 2.9088e+01 2.9932e+01 2.8910e+01 3.0123e+01
38.5000 2.8634e+01 2.4877e+01 3.2909e+01 2.4947e+01 3.2849e+01 2.8223e+01 2.9036e+01 2.8044e+01 2.9223e+01
38.7500 2.7784e+01 2.4149e+01 3.1895e+01 2.4216e+01 3.1836e+01 2.7387e+01 2.8170e+01 2.7212e+01 2.8358e+01
39.0000 2.6964e+01 2.3444e+01 3.0941e+01 2.3510e+01 3.0884e+01 2.6580e+01 2.7335e+01 2.6405e+01 2.7520e+01
39.2500 2.6169e+01 2.2765e+01 3.0015e+01 2.2828e+01 2.9960e+01 2.5803e+01 2.6528e+01 2.5628e+01 2.6709e+01
39.5000 2.5404e+01 2.2107e+01 2.9123e+01 2.2169e+01 2.9070e+01 2.5051e+01 2.5748e+01 2.4879e+01 2.5929e+01
39.7500 2.4664e+01 2.1474e+01 2.8259e+01 2.1533e+01 2.8207e+01 2.4324e+01 2.4999e+01 2.4155e+01 2.5174e+01
40.0000 2.3952e+01 2.0858e+01 2.7428e+01 2.0916e+01 2.7378e+01 2.3621e+01 2.4271e+01 2.3455e+01 2.4446e+01
40.2500 2.3261e+01 2.0267e+01 2.6623e+01 2.0323e+01 2.6574e+01 2.2945e+01 2.3568e+01 2.2779e+01 2.3743e+01
40.5000 2.2595e+01 1.9695e+01 2.5848e+01 1.9749e+01 2.5800e+01 2.2288e+01 2.2893e+01 2.2129e+01 2.3062e+01
40.7500 2.1950e+01 1.9141e+01 2.5098e+01 1.9194e+01 2.5051e+01 2.1656e+01 2.2239e+01 2.1496e+01 2.2405e+01
41.0000 2.1327e+01 1.8605e+01 2.4375e+01 1.8656e+01 2.4330e+01 2.1045e+01 2.1607e+01 2.0885e+01 2.1769e+01
41.2500 2.0726e+01 1.8085e+01 2.3677e+01 1.8134e+01 2.3633e+01 2.0452e+01 2.0993e+01 2.0296e+01 2.1155e+01
41.5000 2.0145e+01 1.7583e+01 2.3000e+01 1.7631e+01 2.2957e+01 1.9878e+01 2.0403e+01 1.9728e+01 2.0563e+01
41.7500 1.9581e+01 1.7099e+01 2.2345e+01 1.7146e+01 2.2303e+01 1.9326e+01 1.9829e+01 1.9175e+01 1.9989e+01
